naam,oude_id (IMBOROUD),nieuwe_id (IMBOR2025)
Afvalbak,EAID_58EF1415_6ACB_412B_9C3E_E390BB2AE3B,EAID_782a94f976d047188596b8de3d9d8f72
Bak,EAID_6B54FE2F_9897_47DA_863C_5A931E89B2D,EAID_e6b03cc260d84f9ea362282c25f5b9be
Bank,EAID_83F95133_4D59_4B1F_B5DD_6055DA2C007,EAID_17a08840891b46679f12a72084b8b5f5
Bergingsbassin,EAID_55C683B9_3F66_4E21_B0C1_66E664837CA,EAID_ffd1099418f04553933d66790f729bc0
Boom,EAID_83A942F7_5291_42F0_AFB1_9A57D0FB2F1,EAID_dd27d9b088a24427a82cac1a1149e039
Bord,EAID_40BD01ED_180A_4644_AB10_4C94C891A45,EAID_bc49c2af0d5f4368b152ffb3e19c5b30
Bouwwerk,EAID_FFA16BB2_FA5A_49F1_B3E8_794499B0278,EAID_fa731847af9b45ef9b20916792aad9ee
Drainageput,EAID_01343EF1_EF8E_4FB1_9A58_8E885304D55,EAID_e1c57e2fc33445fb8c63749b580f6db9
Ecoduct,EAID_812B8374_F08E_47F6_881D_309B7D23FD4,EAID_75df2ce63122463fb74a20c03ef7ca24
Fietsparkeervoorziening,EAID_CA558CCA_4DF7_458A_B8BF_AEA0E428489,EAID_6918f001a89e434e8b2b6d36dc29ce00
Flyover,EAID_12F592F4_8E38_49B7_8DEF_F9B84A874BB,EAID_3ae7d8dc953147bf8c552677637d60af
Geluidsscherm,EAID_DD64F32C_3273_4E23_9A61_FCC8EC93977,EAID_dae822fa35ad43dd9a6a409c144416df
Gemaal,EAID_5D70E69A_2A35_4088_886E_32C0B07275C,EAID_33281a3509884c4cbec8f632f6d7ec81
Groenobject,EAID_B4935E75_46CA_414D_949D_30A8B801FD5,EAID_cdf75896dd6940ea9385a53ad855aaa3
Infiltratieput,EAID_D9ACE9BA_F13C_4EEB_8DD8_73A7E0043DB,EAID_8bf16e4a919e4a6980fc59771c0cb696
Installatie,EAID_A143A97F_28C5_4B56_90F8_4773481A034,EAID_8c70e21a53bf4f27b61c55bd74d4eded
Kademuur,EAID_22C76A86_D969_464E_87CD_53466BD75FC,EAID_fb3caab0dbd44e7c97f62404a2a41517
Kast,EAID_E89ECEBE_796F_4CB7_9E9F_860EBC21B4B,EAID_035fa9a525454e66a6889cad671f1a81
Klimplant,EAID_ABB1E33A_C934_4123_98B0_2D52349E456,EAID_24d78c7c4c384763aacfc74ee12d3b73
Kolk,EAID_E6AFE8F7_95A7_4A0C_A6E8_F6D2091FB8B,EAID_05bd99405337497eb7e0377539ced519
Kunstwerk,EAID_71BCDE9D_88C2_4519_8105_028E40898AB,EAID_49c60a9742eb4b74b6a03f308d60c4ea
Leiding,EAID_4223240C_8786_4D44_889E_9F54BA39A83,EAID_3c1971968b6a4f929a02a8e23724b568
Mast,EAID_CDF116D4_B5B9_4D01_8A5B_4FFB08CEE00,EAID_524b0ec2f6234c788905856dcf4b8c27
Paal,EAID_6B8DBBFB_03D7_4FD7_BBAB_3E7FBE60D97,EAID_bd3f1f91ce774562938d285bd08646d9
Pomp,EAID_01E06F2E_E561_4D6E_8625_2D0F284BE88,EAID_42cc9dc4af0046d9a8e39a6065429875
Put,EAID_B7168388_9EB9_4C95_B35E_1BA2660849E,EAID_7ef2441ce68642f184a5305b036d97a4
Rioolput,EAID_095ECF95_3717_43EC_BC36_8E23E692DEF,EAID_b97f56148d4145a9a93b5ab183a877af
Scheiding,EAID_C538C222_0FA4_43EE_BF06_9512A484A57,EAID_d0a929bd304f4136a7aa1a4a4cda4313
Sensor,EAID_4B32C511_77E9_4ABD_8C02_6F9F336A7A9,EAID_1a15235b4a2042b9b65e45973612844d
Speelterrein,EAID_941A17C1_A2B2_4CD1_8991_08B0EBCF0C2,EAID_733f411ef19b48999a45086e2f25ab95
Speeltoestel,EAID_4EFB3A19_E491_469F_AA96_DEBED9C1BE4,EAID_25281c360b124ae081365d0c70d30d91
Sportterrein,EAID_A5A43927_9633_4584_865B_78AE4486E5B,EAID_99e5effa2a4f433aab3932184dca4bde
Uitlaatconstructie,EAID_A5EEDFA7_48FF_4E7F_B5BF_4A809130A3D,EAID_40ae0256c0c944afaafe80c28abf3ed7
Vegetatieobject,EAID_761406D1_87BC_4DC1_B1B7_BD3BB7AB54A,EAID_e68c7c004cf8480a9878a59639a36293
Verkeersdrempel,EAID_D20F86EE_C4B5_497D_BED0_34B7509121E,EAID_0e2d18d9702d4cb0a944d8b07b852487
Viaduct,EAID_4824C467_3BF6_45C2_BD8B_03F04CEBCA9,EAID_389881ab47934f068a732fb01a4d992d
Waterinrichtingsobject,EAID_0DCEE6C7_87BC_498C_A02A_25271DB1BC9,EAID_4bf5ceeb839f4a819ec0650c328d00c6
Weginrichtingsobject,EAID_7F3202B1_9A3B_4E02_B4F4_31EBCE6B8DE,EAID_6694556e8f1e4372ad3acfe7f7f760d8
